Postcode,Suburb
3121,BURNLEY
3121,BURNLEY NORTH
3023,BURNSIDE
3023,BURNSIDE HEIGHTS
3559,BURRAMBOOT
3730,BURRAMINE
3730,BURRAMINE SOUTH
3709,BURROWYE
3352,BURRUMBEET
3125,BURWOOD
3151,BURWOOD EAST
3151,BURWOOD HEIGHTS
3281,BUSHFIELD
3860,BUSHY PARK
3885,BUTCHERS RIDGE
3711,BUXTON
3301,BYADUK
3300,BYADUK NORTH
3678,BYAWATHA
3762,BYLANDS
3617,BYRNESIDE
3505,CABARITA
3364,CABBAGE TREE
3889,CABBAGE TREE CREEK
3442,CADELLO
3023,CAIRNLEA
3037,CALDER PARK
3984,CALDERMEADE
3556,CALIFORNIA GULLY
3573,CALIVIL
3387,CALLAWADDA
3844,CALLIGNEE
3844,CALLIGNEE NORTH
3844,CALLIGNEE SOUTH
3971,CALROSSIE
3875,CALULU
3779,CAMBARVILLE
3124,CAMBERWELL
3126,CAMBERWELL EAST
3124,CAMBERWELL NORTH
3124,CAMBERWELL SOUTH
3124,CAMBERWELL WEST
3352,CAMBRIAN HILL
3061,CAMPBELLFIELD
3387,CAMPBELLS BRIDGE
3451,CAMPBELLS CREEK
3556,CAMPBELLS FOREST
3364,CAMPBELLTOWN
3260,CAMPERDOWN
3350,CANADIAN
3537,CANARY ISLAND
3630,CANIAMBO
3890,CANN RIVER
3540,CANNIE
3977,CANNONS CREEK
3393,CANNUM
3126,CANTERBURY
3305,CAPE BRIDGEWATER
3351,CAPE CLEAR
3888,CAPE CONRAN
3233,CAPE OTWAY
3995,CAPE PATERSON
3939,CAPE SCHANCK
3925,CAPE WOOLAMAI
3940,CAPEL SOUND
3579,CAPELS CROSSING
3623,CARAG CARAG
3371,CARALULUP
3274,CARAMUT
3477,CARAPOOEE
3477,CARAPOOEE WEST
3312,CARAPOOK
3678,CARBOOR
3352,CARDIGAN
3352,CARDIGAN VILLAGE
3978,CARDINIA
3496,CARDROSS
3334,CARGERIE
3512,CARINA
3825,CARINGAL
3464,CARISBROOK
3239,CARLISLE RIVER
3442,CARLSRUHE
3053,CARLTON
3054,CARLTON NORTH
3053,CARLTON SOUTH
3685,CARLYLE
3163,CARNEGIE
3351,CARNGHAM
3023,CAROLINE SPRINGS
3260,CARPENDEIT
3844,CARRAJUNG
3844,CARRAJUNG LOWER
3844,CARRAJUNG SOUTH
3361,CARRANBALLAC
3480,CARRON
3197,CARRUM
3201,CARRUM DOWNS
3494,CARWARP
3305,CASHMORE
3898,CASSILIS
3777,CASTELLA
3311,CASTERTON
3691,CASTLE CREEK
3585,CASTLE DONNINGTON
3450,CASTLEMAINE
3981,CATANI
3377,CATHCART
3714,CATHKIN
3537,CATUMNAL
3162,CAULFIELD
3145,CAULFIELD EAST
3161,CAULFIELD JUNCTION
3161,CAULFIELD NORTH
3162,CAULFIELD SOUTH
3660,CAVEAT
3314,CAVENDISH
3145,CENTRAL PARK
3221,CERES
3148,CHADSTONE
3148,CHADSTONE CENTRE
3890,CHANDLERS CREEK
3352,CHAPEL FLAT
3239,CHAPPLE VALE
3318,CHARAM
3217,CHARLEMONT
3695,CHARLEROI
3525,CHARLTON
3379,CHATSWORTH
3196,CHELSEA
3196,CHELSEA HEIGHTS
3192,CHELTENHAM
3192,CHELTENHAM EAST
3351,CHEPSTOWE
3434,CHEROKEE
3401,CHERRYPOOL
3678,CHESHUNT
3678,CHESHUNT SOUTH
3725,CHESNEY VALE
3312,CHETWYND
3451,CHEWTON
3451,CHEWTON BUSHLANDS
3824,CHILDERS
3585,CHILLINGOLLAH
3683,CHILTERN
3683,CHILTERN VALLEY
3544,CHINANGIN
3546,CHINKAPOOK
3756,CHINTIN
3116,CHIRNSIDE PARK
3525,CHIRRIP
3260,CHOCOLYN
3775,CHRISTMAS HILLS
3777,CHUM CREEK
3842,CHURCHILL
3925,CHURCHILL ISLAND
3373,CHUTE
3352,CLARENDON
3352,CLARETOWN
3169,CLARINDA
3430,CLARKEFIELD
3352,CLARKES HILL
3168,CLAYTON
3169,CLAYTON SOUTH
3409,CLEAR LAKE
3782,CLEMATIS
3875,CLIFTON CREEK
3068,CLIFTON HILL
3222,CLIFTON SPRINGS
3658,CLONBINANE
3315,CLOVER FLAT
3822,CLOVERLEA
3889,CLUB TERRACE
3370,CLUNES
3978,CLYDE
3978,CLYDE NORTH
3851,CLYDEBANK
3461,CLYDESDALE
3825,COALVILLE
3851,COBAINS
3442,COBAW
3862,COBBANNAH
3900,COBBERAS
3338,COBBLEBANK
3266,COBDEN
3643,COBRAM
3644,COBRAM
3644,COBRAM EAST
3266,COBRICO
3898,COBUNGRA
3058,COBURG
3058,COBURG NORTH
3546,COCAMBA
3475,COCHRANES CREEK
3781,COCKATOO
3030,COCOROC
3285,CODRINGTON
3364,COGHILLS CREEK
3568,COHUNA
3340,COIMADAI
3542,COKUM
3250,COLAC
3707,COLAC COLAC
3250,COLAC EAST
3250,COLAC WEST
3559,COLBINABBIN
